VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,pickup_month,is_weekend,trip_duration_min,avg_speed_mph
2,2.0,9.5,1.0,138.0,90.0,1.0,39.4,5.0,0.5,6.55,1.0,2.5,1.25,15,3,1,0,25.733333333333334,22.15025906735751
2,1.0,1.86,1.0,79.0,186.0,1.0,13.5,1.0,0.5,0.0,1.0,2.5,0.0,0,6,1,1,13.4,8.328358208955224
1,1.0,1.9,1.0,24.0,236.0,2.0,10.7,2.5,0.5,0.0,1.0,2.5,0.0,12,6,1,1,9.116666666666667,12.504570383912247
2,1.0,11.27,1.0,87.0,244.0,1.0,45.7,1.0,0.5,0.0,1.0,2.5,0.0,3,6,1,1,24.883333333333333,27.174815807099797
2,1.0,1.03,1.0,170.0,163.0,1.0,7.2,0.0,0.5,0.0,1.0,2.5,0.0,7,5,1,1,4.45,13.887640449438202
2,4.0,18.77,2.0,262.0,132.0,1.0,70.0,0.0,0.5,6.55,1.0,2.5,0.0,8,6,1,1,24.083333333333332,46.76262975778547
2,4.0,1.15,1.0,142.0,237.0,2.0,7.9,2.5,0.5,0.0,1.0,2.5,0.0,18,3,1,0,5.35,12.897196261682243
2,2.0,2.1,1.0,170.0,141.0,1.0,11.4,1.0,0.5,0.0,1.0,2.5,0.0,3,6,1,1,7.216666666666667,17.45958429561201
2,2.0,2.22,1.0,170.0,249.0,2.0,12.8,1.0,0.5,0.0,1.0,2.5,0.0,20,6,1,1,11.383333333333333,11.701317715959005
1,1.0,1.9,1.0,231.0,68.0,2.0,12.1,2.5,0.5,0.0,1.0,2.5,0.0,10,1,1,0,11.066666666666666,10.301204819277109
2,1.0,2.01,1.0,158.0,79.0,1.0,14.2,0.0,0.5,0.0,1.0,2.5,0.0,17,6,1,1,13.583333333333334,8.878527607361962
1,2.0,2.3,1.0,249.0,170.0,1.0,14.9,3.5,0.5,0.0,1.0,2.5,0.0,23,3,1,0,21.0,6.571428571428571
2,2.0,2.96,1.0,186.0,211.0,2.0,17.0,0.0,0.5,0.0,1.0,2.5,0.0,11,6,1,1,14.133333333333333,12.566037735849058
2,1.0,1.66,1.0,162.0,142.0,2.0,12.8,2.5,0.5,0.0,1.0,2.5,0.0,16,2,1,0,12.966666666666667,7.681233933161953
2,2.0,18.14,2.0,132.0,230.0,2.0,70.0,0.0,0.5,6.55,1.0,2.5,1.25,17,5,1,1,61.03333333333333,17.832878208629165
2,1.0,1.05,1.0,237.0,263.0,1.0,8.6,2.5,0.5,0.0,1.0,2.5,0.0,18,1,1,0,6.983333333333333,9.021479713603819
2,6.0,1.01,1.0,161.0,164.0,2.0,7.9,0.0,0.5,0.0,1.0,2.5,0.0,12,5,1,1,5.75,10.539130434782608
2,1.0,2.74,1.0,230.0,43.0,1.0,17.7,2.5,0.5,0.0,1.0,2.5,0.0,17,1,1,0,16.183333333333334,10.158599382080329
2,1.0,2.19,1.0,237.0,238.0,1.0,14.9,2.5,0.5,0.0,1.0,2.5,0.0,16,2,1,0,14.983333333333333,8.769744160177975
2,1.0,1.25,1.0,114.0,79.0,1.0,9.3,1.0,0.5,0.0,1.0,2.5,0.0,20,4,1,0,8.733333333333333,8.587786259541986
2,2.0,5.28,1.0,164.0,88.0,1.0,27.5,0.0,0.5,0.0,1.0,2.5,0.0,19,6,1,1,21.95,14.432801822323462
2,1.0,3.48,1.0,142.0,113.0,1.0,19.8,1.0,0.5,0.0,1.0,2.5,0.0,2,6,1,1,18.166666666666668,11.493577981651375
2,2.0,9.78,1.0,107.0,7.0,1.0,39.4,1.0,0.5,0.0,1.0,2.5,0.0,4,5,1,1,17.85,32.87394957983192
2,1.0,2.28,1.0,114.0,100.0,1.0,13.5,2.5,0.5,0.0,1.0,2.5,0.0,18,3,1,0,12.1,11.305785123966942
2,1.0,3.64,1.0,140.0,90.0,1.0,33.1,0.0,0.5,0.0,1.0,2.5,0.0,10,4,1,0,37.416666666666664,5.836971046770602
2,2.0,2.72,1.0,107.0,141.0,1.0,15.6,2.5,0.5,0.0,1.0,2.5,0.0,19,2,1,0,14.016666666666667,11.643281807372176
2,1.0,3.5,1.0,132.0,218.0,2.0,17.0,0.0,0.5,0.0,1.0,0.0,1.25,11,2,1,0,9.766666666666667,21.501706484641634
2,1.0,0.46,1.0,43.0,236.0,1.0,7.2,0.0,0.5,0.0,1.0,2.5,0.0,9,0,1,0,6.033333333333333,4.574585635359116
2,1.0,0.56,1.0,107.0,137.0,1.0,5.8,0.0,0.5,0.0,1.0,2.5,0.0,15,3,1,0,4.15,8.096385542168676
1,1.0,1.3,1.0,237.0,75.0,1.0,9.3,2.5,0.5,0.0,1.0,2.5,0.0,15,5,1,1,7.733333333333333,10.086206896551724
2,2.0,1.2,1.0,114.0,107.0,1.0,8.6,1.0,0.5,0.0,1.0,2.5,0.0,2,6,1,1,5.783333333333333,12.44956772334294
2,1.0,1.32,1.0,140.0,236.0,1.0,9.3,0.0,0.5,0.0,1.0,2.5,0.0,9,5,1,1,6.95,11.39568345323741
2,4.0,2.68,1.0,264.0,43.0,1.0,14.2,0.0,0.5,0.0,1.0,2.5,0.0,10,5,1,1,11.9,13.512605042016807
2,1.0,2.93,1.0,132.0,10.0,2.0,14.9,1.0,0.5,0.0,1.0,0.0,1.25,23,6,1,1,11.133333333333333,15.790419161676647
2,2.0,0.75,1.0,230.0,162.0,2.0,7.9,0.0,0.5,0.0,1.0,2.5,0.0,8,0,1,0,7.5,6.0
2,1.0,3.71,1.0,237.0,41.0,1.0,30.3,0.0,0.5,0.0,1.0,2.5,0.0,10,4,1,0,34.016666666666666,6.543851053405193
2,1.0,2.84,1.0,141.0,48.0,1.0,21.2,0.0,0.5,0.0,1.0,2.5,0.0,9,3,1,0,22.733333333333334,7.495601173020527
1,1.0,0.3,1.0,140.0,140.0,2.0,5.8,2.5,0.5,0.0,1.0,2.5,0.0,14,1,1,0,5.4,3.333333333333333
2,1.0,2.24,1.0,186.0,79.0,2.0,13.5,2.5,0.5,0.0,1.0,2.5,0.0,18,2,1,0,11.933333333333334,11.262569832402235
1,2.0,9.3,1.0,137.0,138.0,1.0,35.9,7.5,0.5,6.55,1.0,2.5,0.0,18,6,1,1,18.616666666666667,29.97314234556849
2,1.0,24.61,1.0,132.0,228.0,2.0,93.3,1.0,0.5,0.0,1.0,0.0,1.25,22,6,1,1,36.65,40.289222373806275
2,5.0,2.46,1.0,238.0,230.0,1.0,14.9,0.0,0.5,0.0,1.0,2.5,0.0,9,3,1,0,12.6,11.714285714285715
2,1.0,0.72,1.0,113.0,249.0,1.0,7.2,0.0,0.5,0.0,1.0,2.5,0.0,13,1,1,0,5.6,7.714285714285714
2,1.0,0.41,1.0,237.0,237.0,1.0,5.1,0.0,0.5,0.0,1.0,2.5,0.0,13,0,1,0,3.533333333333333,6.962264150943396
1,1.0,2.4,1.0,68.0,239.0,2.0,15.6,2.5,0.5,0.0,1.0,2.5,0.0,12,1,1,0,16.616666666666667,8.665997993981946
2,1.0,1.51,1.0,68.0,48.0,1.0,8.6,1.0,0.5,0.0,1.0,2.5,0.0,0,0,1,0,4.683333333333334,19.345195729537366
2,1.0,9.56,1.0,138.0,79.0,1.0,37.3,6.0,0.5,6.55,1.0,2.5,1.25,22,3,1,0,17.5,32.777142857142856
1,1.0,1.8,1.0,229.0,50.0,1.0,11.4,3.5,0.5,0.0,1.0,2.5,0.0,21,6,1,1,10.983333333333333,9.833080424886191
1,1.0,3.0,1.0,263.0,161.0,2.0,14.2,3.5,0.5,0.0,1.0,2.5,0.0,0,4,1,0,12.116666666666667,14.855570839064649
2,2.0,0.82,1.0,246.0,50.0,1.0,7.9,1.0,0.5,0.0,1.0,2.5,0.0,20,5,1,1,5.65,8.70796460176991
2,1.0,2.92,1.0,45.0,68.0,2.0,19.8,2.5,0.5,0.0,1.0,2.5,0.0,17,2,1,0,20.1,8.71641791044776
1,1.0,2.8,1.0,87.0,79.0,1.0,14.9,2.5,0.5,0.0,1.0,2.5,0.0,16,5,1,1,9.916666666666666,16.941176470588236
2,1.0,0.93,1.0,100.0,161.0,2.0,9.3,0.0,0.5,0.0,1.0,2.5,0.0,10,0,1,0,8.783333333333333,6.35294117647059
2,1.0,2.26,1.0,142.0,141.0,1.0,16.3,0.0,0.5,0.0,1.0,2.5,0.0,10,3,1,0,16.433333333333334,8.25152129817444
2,1.0,3.5,1.0,68.0,236.0,1.0,21.2,2.5,0.5,0.0,1.0,2.5,0.0,16,4,1,0,20.966666666666665,10.01589825119237
2,1.0,0.66,1.0,79.0,114.0,1.0,7.2,0.0,0.5,0.0,1.0,2.5,0.0,19,5,1,1,5.533333333333333,7.156626506024097
1,2.0,1.2,1.0,141.0,162.0,1.0,9.3,2.5,0.5,0.0,1.0,2.5,0.0,15,6,1,1,8.516666666666667,8.454011741682974
2,1.0,3.27,1.0,170.0,143.0,1.0,17.7,1.0,0.5,0.0,1.0,2.5,0.0,20,5,1,1,14.916666666666666,13.153072625698325
1,1.0,3.0,1.0,249.0,233.0,1.0,17.0,3.5,0.5,0.0,1.0,2.5,0.0,0,6,1,1,15.816666666666666,11.380400421496311
2,4.0,2.37,1.0,186.0,239.0,2.0,14.2,0.0,0.5,0.0,1.0,2.5,0.0,11,6,1,1,12.95,10.980694980694981
2,1.0,4.16,1.0,238.0,90.0,1.0,23.3,0.0,0.5,0.0,1.0,2.5,0.0,12,0,1,0,20.616666666666667,12.106709781729991
1,1.0,1.1,1.0,45.0,144.0,2.0,9.3,2.5,0.5,0.0,1.0,2.5,0.0,14,1,1,0,11.883333333333333,5.553997194950912
2,1.0,3.0,1.0,90.0,229.0,1.0,16.3,1.0,0.5,0.0,1.0,2.5,0.0,3,6,1,1,13.65,13.186813186813186
1,2.0,20.0,1.0,132.0,264.0,2.0,75.8,1.25,0.5,0.0,1.0,0.0,1.25,15,2,1,0,46.71666666666667,25.68676418123439
2,1.0,7.9,1.0,132.0,95.0,1.0,31.7,1.0,0.5,0.0,1.0,0.0,1.25,0,4,1,0,14.133333333333333,33.53773584905661
2,1.0,3.64,1.0,43.0,107.0,1.0,21.9,2.5,0.5,0.0,1.0,2.5,0.0,19,3,1,0,21.066666666666666,10.367088607594937
2,1.0,2.48,1.0,161.0,140.0,1.0,17.0,2.5,0.5,0.0,1.0,2.5,0.0,18,4,1,0,16.25,9.156923076923077
2,1.0,4.29,1.0,87.0,234.0,2.0,21.9,0.0,0.5,0.0,1.0,2.5,0.0,15,4,1,0,15.933333333333334,16.154811715481173
1,1.0,3.2,1.0,230.0,263.0,1.0,16.3,3.5,0.5,0.0,1.0,2.5,0.0,23,4,1,0,14.383333333333333,13.348783314020858
1,1.0,1.5,1.0,163.0,236.0,1.0,10.0,5.0,0.5,0.0,1.0,2.5,0.0,18,3,1,0,8.183333333333334,10.9979633401222
2,5.0,1.44,1.0,142.0,237.0,2.0,8.6,1.0,0.5,0.0,1.0,2.5,0.0,21,3,1,0,5.783333333333333,14.939481268011527
2,1.0,1.13,1.0,239.0,263.0,1.0,7.9,0.0,0.5,0.0,1.0,2.5,0.0,10,1,1,0,5.9,11.491525423728811
2,1.0,1.67,1.0,236.0,238.0,1.0,11.4,0.0,0.5,0.0,1.0,2.5,0.0,12,3,1,0,10.116666666666667,9.904448105436572
2,3.0,1.45,1.0,107.0,158.0,1.0,10.0,1.0,0.5,0.0,1.0,2.5,0.0,1,6,1,1,8.383333333333333,10.377733598409543
